 component   0 : { size: 11927552, (unique: 7778654), root:   0, level:   0, parent:   0 } 

 component   1 : { size: 4148013, (unique: 395713), root: 13197, level:   1, parent:   0 } 

 component   2 : { size:  31, (unique:  31), root: 88816, level:   1, parent:   0 } 

 component   3 : { size:   1, (unique:   1), root: 137058, level:   1, parent:   0 } 

 component   4 : { size:   2, (unique:   2), root: 137237, level:   1, parent:   0 } 

 component   5 : { size:  51, (unique:  51), root: 137597, level:   1, parent:   0 } 

 component   6 : { size:  32, (unique:  32), root: 511595, level:   1, parent:   0 } 

 component   7 : { size:  16, (unique:  16), root: 511945, level:   1, parent:   0 } 

 component   8 : { size:   1, (unique:   1), root: 672607, level:   1, parent:   0 } 

 component   9 : { size:   3, (unique:   3), root: 922343, level:   1, parent:   0 } 

 component  10 : { size:   1, (unique:   1), root: 1115962, level:   1, parent:   0 } 

 component  11 : { size:   7, (unique:   7), root: 1395144, level:   1, parent:   0 } 

 component  12 : { size:   1, (unique:   1), root: 1627741, level:   1, parent:   0 } 

 component  13 : { size:   1, (unique:   1), root: 2021045, level:   1, parent:   0 } 

 component  14 : { size:   1, (unique:   1), root: 2067819, level:   1, parent:   0 } 

 component  15 : { size:   1, (unique:   1), root: 2090040, level:   1, parent:   0 } 

 component  16 : { size:  24, (unique:  24), root: 2114959, level:   1, parent:   0 } 

 component  17 : { size:   1, (unique:   1), root: 2136451, level:   1, parent:   0 } 

 component  18 : { size:  12, (unique:  12), root: 2349013, level:   1, parent:   0 } 

 component  19 : { size:  26, (unique:  26), root: 3760269, level:   1, parent:   0 } 

 component  20 : { size:  19, (unique:  19), root: 4273577, level:   1, parent:   0 } 

 component  21 : { size:  10, (unique:  10), root: 5251822, level:   1, parent:   0 } 

 component  22 : { size:   2, (unique:   2), root: 5483275, level:   1, parent:   0 } 

 component  23 : { size:   1, (unique:   1), root: 9246386, level:   1, parent:   0 } 

 component  24 : { size:   1, (unique:   1), root: 9387980, level:   1, parent:   0 } 

 component  25 : { size:   1, (unique:   1), root: 9388161, level:   1, parent:   0 } 

 component  26 : { size:   1, (unique:   1), root: 9434755, level:   1, parent:   0 } 

 component  27 : { size:   1, (unique:   1), root: 9527209, level:   1, parent:   0 } 

 component  28 : { size:   4, (unique:   4), root: 9714310, level:   1, parent:   0 } 

