 component   0 : { size: 11927552, (unique: 8175251), root:   0, level:   0, parent:   0 } 

 component   1 : { size: 3750181, (unique: 846253), root: 13562, level:   1, parent:   0 } 

 component   2 : { size:   1, (unique:   1), root: 157176, level:   1, parent:   0 } 

 component   3 : { size:   1, (unique:   1), root: 181084, level:   1, parent:   0 } 

 component   4 : { size:   1, (unique:   1), root: 278855, level:   1, parent:   0 } 

 component   5 : { size:   1, (unique:   1), root: 322500, level:   1, parent:   0 } 

 component   6 : { size:   1, (unique:   1), root: 511294, level:   1, parent:   0 } 

 component   7 : { size:   1, (unique:   1), root: 540141, level:   1, parent:   0 } 

 component   8 : { size:  11, (unique:  11), root: 557520, level:   1, parent:   0 } 

 component   9 : { size:   1, (unique:   1), root: 602827, level:   1, parent:   0 } 

 component  10 : { size:  52, (unique:  52), root: 604732, level:   1, parent:   0 } 

 component  11 : { size: 124, (unique: 124), root: 744452, level:   1, parent:   0 } 

 component  12 : { size:   7, (unique:   7), root: 766886, level:   1, parent:   0 } 

 component  13 : { size:  10, (unique:  10), root: 837499, level:   1, parent:   0 } 

 component  14 : { size:  75, (unique:  75), root: 931024, level:   1, parent:   0 } 

 component  15 : { size:   2, (unique:   2), root: 976910, level:   1, parent:   0 } 

 component  16 : { size:   8, (unique:   8), root: 977079, level:   1, parent:   0 } 

 component  17 : { size:   7, (unique:   7), root: 1023320, level:   1, parent:   0 } 

 component  18 : { size:   8, (unique:   8), root: 1023493, level:   1, parent:   0 } 

 component  19 : { size:   1, (unique:   1), root: 1163056, level:   1, parent:   0 } 

 component  20 : { size:   1, (unique:   1), root: 1163430, level:   1, parent:   0 } 

 component  21 : { size:   1, (unique:   1), root: 1209853, level:   1, parent:   0 } 

 component  22 : { size:  80, (unique:  80), root: 1256435, level:   1, parent:   0 } 

 component  23 : { size:   2, (unique:   2), root: 1256444, level:   1, parent:   0 } 

 component  24 : { size:   5, (unique:   5), root: 1396028, level:   1, parent:   0 } 

 component  25 : { size:   1, (unique:   1), root: 1647581, level:   1, parent:   0 } 

 component  26 : { size:   4, (unique:   4), root: 1721806, level:   1, parent:   0 } 

 component  27 : { size:  15, (unique:  15), root: 1994030, level:   1, parent:   0 } 

 component  28 : { size:  12, (unique:  12), root: 1994684, level:   1, parent:   0 } 

