 component   0 : { size: 11927552, (unique: 7772402), root:   0, level:   0, parent:   0 } 

 component   1 : { size: 4153740, (unique: 250510), root: 13198, level:   1, parent:   0 } 

 component   2 : { size:  21, (unique:  16), root: 39168, level:   1, parent:   0 } 

 component   3 : { size:   1, (unique:   1), root: 63605, level:   1, parent:   0 } 

 component   4 : { size:   1, (unique:   1), root: 75808, level:   1, parent:   0 } 

 component   5 : { size:   2, (unique:   2), root: 77370, level:   1, parent:   0 } 

 component   6 : { size:   4, (unique:   4), root: 77555, level:   1, parent:   0 } 

 component   7 : { size:   3, (unique:   2), root: 83389, level:   1, parent:   0 } 

 component   8 : { size:   1, (unique:   1), root: 129736, level:   1, parent:   0 } 

 component   9 : { size:   1, (unique:   1), root: 129798, level:   1, parent:   0 } 

 component  10 : { size:   1, (unique:   1), root: 130527, level:   1, parent:   0 } 

 component  11 : { size:   1, (unique:   1), root: 170554, level:   1, parent:   0 } 

 component  12 : { size:   1, (unique:   1), root: 175298, level:   1, parent:   0 } 

 component  13 : { size:  15, (unique:  13), root: 176937, level:   1, parent:   0 } 

 component  14 : { size:   1, (unique:   1), root: 355779, level:   1, parent:   0 } 

 component  15 : { size:   1, (unique:   1), root: 357102, level:   1, parent:   0 } 

 component  16 : { size:   1, (unique:   1), root: 419086, level:   1, parent:   0 } 

 component  17 : { size:   2, (unique:   2), root: 419089, level:   1, parent:   0 } 

 component  18 : { size:   7, (unique:   7), root: 455760, level:   1, parent:   0 } 

 component  19 : { size:   5, (unique:   4), root: 456125, level:   1, parent:   0 } 

 component  20 : { size:   2, (unique:   2), root: 456308, level:   1, parent:   0 } 

 component  21 : { size:   1, (unique:   1), root: 501805, level:   1, parent:   0 } 

 component  22 : { size:   1, (unique:   1), root: 504727, level:   1, parent:   0 } 

 component  23 : { size:  11, (unique:  11), root: 528817, level:   1, parent:   0 } 

 component  24 : { size:  19, (unique:  19), root: 529732, level:   1, parent:   0 } 

 component  25 : { size:   1, (unique:   1), root: 575548, level:   1, parent:   0 } 

 component  26 : { size:   1, (unique:   1), root: 621073, level:   1, parent:   0 } 

 component  27 : { size:   3, (unique:   3), root: 625473, level:   1, parent:   0 } 

 component  28 : { size:   4, (unique:   3), root: 641217, level:   1, parent:   0 } 

 component  29 : { size:   4, (unique:   4), root: 650951, level:   1, parent:   0 } 

 component  30 : { size:   1, (unique:   1), root: 667497, level:   1, parent:   0 } 

 component  31 : { size:  21, (unique:  21), root: 670786, level:   1, parent:   0 } 

 component  32 : { size:   3, (unique:   3), root: 682877, level:   1, parent:   0 } 

 component  33 : { size:   1, (unique:   1), root: 697108, level:   1, parent:   0 } 

 component  34 : { size:   1, (unique:   1), root: 697293, level:   1, parent:   0 } 

 component  35 : { size:   1, (unique:   1), root: 697477, level:   1, parent:   0 } 

 component  36 : { size:   1, (unique:   1), root: 736958, level:   1, parent:   0 } 

 component  37 : { size:   2, (unique:   2), root: 737688, level:   1, parent:   0 } 

 component  38 : { size:   1, (unique:   1), root: 742150, level:   1, parent:   0 } 

 component  39 : { size:   1, (unique:   1), root: 743233, level:   1, parent:   0 } 

 component  40 : { size:   1, (unique:   1), root: 743590, level:   1, parent:   0 } 

 component  41 : { size:   1, (unique:   1), root: 743773, level:   1, parent:   0 } 

 component  42 : { size:   1, (unique:   1), root: 744099, level:   1, parent:   0 } 

 component  43 : { size:   1, (unique:   1), root: 766345, level:   1, parent:   0 } 

 component  44 : { size:   1, (unique:   1), root: 789820, level:   1, parent:   0 } 

 component  45 : { size:   1, (unique:   1), root: 790000, level:   1, parent:   0 } 

 component  46 : { size:   1, (unique:   1), root: 823215, level:   1, parent:   0 } 

 component  47 : { size:   2, (unique:   2), root: 828433, level:   1, parent:   0 } 

 component  48 : { size:   1, (unique:   1), root: 831237, level:   1, parent:   0 } 

 component  49 : { size:   1, (unique:   1), root: 836241, level:   1, parent:   0 } 

 component  50 : { size:   1, (unique:   1), root: 836911, level:   1, parent:   0 } 

 component  51 : { size:   2, (unique:   2), root: 878012, level:   1, parent:   0 } 

 component  52 : { size:   1, (unique:   1), root: 882750, level:   1, parent:   0 } 

 component  53 : { size:   1, (unique:   1), root: 883321, level:   1, parent:   0 } 

 component  54 : { size:   2, (unique:   2), root: 921253, level:   1, parent:   0 } 

 component  55 : { size:   2, (unique:   2), root: 923795, level:   1, parent:   0 } 

 component  56 : { size:   1, (unique:   1), root: 929059, level:   1, parent:   0 } 

 component  57 : { size:   1, (unique:   1), root: 929343, level:   1, parent:   0 } 

 component  58 : { size:   1, (unique:   1), root: 929729, level:   1, parent:   0 } 

 component  59 : { size:   3, (unique:   3), root: 952162, level:   1, parent:   0 } 

 component  60 : { size:   2, (unique:   2), root: 997843, level:   1, parent:   0 } 

 component  61 : { size:   2, (unique:   2), root: 999845, level:   1, parent:   0 } 

 component  62 : { size:   2, (unique:   2), root: 1017789, level:   1, parent:   0 } 

 component  63 : { size:   3, (unique:   3), root: 1021432, level:   1, parent:   0 } 

 component  64 : { size:   3, (unique:   3), root: 1066656, level:   1, parent:   0 } 

 component  65 : { size:   1, (unique:   1), root: 1069012, level:   1, parent:   0 } 

 component  66 : { size:   7, (unique:   7), root: 1096532, level:   1, parent:   0 } 

 component  67 : { size:   1, (unique:   1), root: 1097442, level:   1, parent:   0 } 

 component  68 : { size:   1, (unique:   1), root: 1114799, level:   1, parent:   0 } 

 component  69 : { size:   1, (unique:   1), root: 1115241, level:   1, parent:   0 } 

 component  70 : { size:  13, (unique:  13), root: 1139387, level:   1, parent:   0 } 

 component  71 : { size:  17, (unique:  14), root: 1144758, level:   1, parent:   0 } 

 component  72 : { size:   1, (unique:   1), root: 1159839, level:   1, parent:   0 } 

 component  73 : { size:   1, (unique:   1), root: 1160845, level:   1, parent:   0 } 

 component  74 : { size:   4, (unique:   4), root: 1161210, level:   1, parent:   0 } 

 component  75 : { size:   1, (unique:   1), root: 1162309, level:   1, parent:   0 } 

 component  76 : { size:   2, (unique:   2), root: 1162316, level:   1, parent:   0 } 

 component  77 : { size:   1, (unique:   1), root: 1185261, level:   1, parent:   0 } 

 component  78 : { size:   5, (unique:   5), root: 1190995, level:   1, parent:   0 } 

 component  79 : { size:   1, (unique:   1), root: 1195763, level:   1, parent:   0 } 

 component  80 : { size:   1, (unique:   1), root: 1201169, level:   1, parent:   0 } 

 component  81 : { size:   2, (unique:   2), root: 1201714, level:   1, parent:   0 } 

 component  82 : { size:   1, (unique:   1), root: 1204250, level:   1, parent:   0 } 

 component  83 : { size:   4, (unique:   4), root: 1209127, level:   1, parent:   0 } 

 component  84 : { size:  28, (unique:  28), root: 1232445, level:   1, parent:   0 } 

 component  85 : { size:   4, (unique:   4), root: 1236670, level:   1, parent:   0 } 

 component  86 : { size:   6, (unique:   6), root: 1236856, level:   1, parent:   0 } 

 component  87 : { size:   5, (unique:   5), root: 1242173, level:   1, parent:   0 } 

 component  88 : { size:   2, (unique:   2), root: 1254653, level:   1, parent:   0 } 

 component  89 : { size:   1, (unique:   1), root: 1254834, level:   1, parent:   0 } 

 component  90 : { size:   1, (unique:   1), root: 1255127, level:   1, parent:   0 } 

 component  91 : { size:   4, (unique:   4), root: 1282355, level:   1, parent:   0 } 

 component  92 : { size:   5, (unique:   5), root: 1296711, level:   1, parent:   0 } 

 component  93 : { size:   1, (unique:   1), root: 1300701, level:   1, parent:   0 } 

 component  94 : { size:   2, (unique:   2), root: 1317201, level:   1, parent:   0 } 

