 component   0 : { size: 11927552, (unique: 7834244), root:   0, level:   0, parent:   0 } 

 component   1 : { size: 4091677, (unique: 308901), root: 13199, level:   1, parent:   0 } 

 component   2 : { size:  15, (unique:  12), root: 39350, level:   1, parent:   0 } 

 component   3 : { size:   3, (unique:   3), root: 63245, level:   1, parent:   0 } 

 component   4 : { size:   3, (unique:   2), root: 83389, level:   1, parent:   0 } 

 component   5 : { size:   1, (unique:   1), root: 129736, level:   1, parent:   0 } 

 component   6 : { size:   1, (unique:   1), root: 129798, level:   1, parent:   0 } 

 component   7 : { size:   1, (unique:   1), root: 130463, level:   1, parent:   0 } 

 component   8 : { size:   1, (unique:   1), root: 175298, level:   1, parent:   0 } 

 component   9 : { size:  13, (unique:  13), root: 176509, level:   1, parent:   0 } 

 component  10 : { size:   9, (unique:   8), root: 222436, level:   1, parent:   0 } 

 component  11 : { size:   2, (unique:   2), root: 223347, level:   1, parent:   0 } 

 component  12 : { size:   3, (unique:   3), root: 277382, level:   1, parent:   0 } 

 component  13 : { size:   1, (unique:   1), root: 277747, level:   1, parent:   0 } 

 component  14 : { size:   4, (unique:   4), root: 388479, level:   1, parent:   0 } 

 component  15 : { size:   2, (unique:   2), root: 409650, level:   1, parent:   0 } 

 component  16 : { size:   1, (unique:   1), root: 419090, level:   1, parent:   0 } 

 component  17 : { size:   1, (unique:   1), root: 455515, level:   1, parent:   0 } 

 component  18 : { size:   1, (unique:   1), root: 455942, level:   1, parent:   0 } 

 component  19 : { size:   5, (unique:   5), root: 456125, level:   1, parent:   0 } 

 component  20 : { size:   1, (unique:   1), root: 456490, level:   1, parent:   0 } 

 component  21 : { size:   1, (unique:   1), root: 465316, level:   1, parent:   0 } 

 component  22 : { size:   2, (unique:   2), root: 484558, level:   1, parent:   0 } 

 component  23 : { size:  10, (unique:  10), root: 502289, level:   1, parent:   0 } 

 component  24 : { size:  13, (unique:  13), root: 529732, level:   1, parent:   0 } 

 component  25 : { size:   3, (unique:   3), root: 557811, level:   1, parent:   0 } 

 component  26 : { size:   1, (unique:   1), root: 558484, level:   1, parent:   0 } 

 component  27 : { size:   5, (unique:   5), root: 575227, level:   1, parent:   0 } 

 component  28 : { size:   1, (unique:   1), root: 596018, level:   1, parent:   0 } 

 component  29 : { size:   1, (unique:   1), root: 622882, level:   1, parent:   0 } 

 component  30 : { size:   1, (unique:   1), root: 641217, level:   1, parent:   0 } 

 component  31 : { size:   1, (unique:   1), root: 641582, level:   1, parent:   0 } 

 component  32 : { size:   1, (unique:   1), root: 651651, level:   1, parent:   0 } 

