 component   0 : { size: 11927552, (unique: 7914054), root:   0, level:   0, parent:   0 } 
 component  78 : { size:   3, (unique:   3), root: 9713459, level:   1, parent:   0 } 

 component  79 : { size:   1, (unique:   1), root: 9715397, level:   1, parent:   0 } 

 component  80 : { size:   1, (unique:   1), root: 9716123, level:   1, parent:   0 } 

 component  81 : { size: 100, (unique: 100), root: 9757652, level:   1, parent:   0 } 

 component  82 : { size:   1, (unique:   1), root: 9758033, level:   1, parent:   0 } 

 component  83 : { size:   1, (unique:   1), root: 9758373, level:   1, parent:   0 } 

 component  84 : { size:  13, (unique:  13), root: 9758397, level:   1, parent:   0 } 

 component  85 : { size:   1, (unique:   1), root: 9758556, level:   1, parent:   0 } 

 component  86 : { size:   2, (unique:   2), root: 9758734, level:   1, parent:   0 } 

 component  87 : { size:   4, (unique:   4), root: 9758914, level:   1, parent:   0 } 

 component  88 : { size:   1, (unique:   1), root: 9759131, level:   1, parent:   0 } 

 component  89 : { size:   3, (unique:   3), root: 9759276, level:   1, parent:   0 } 

 component  90 : { size:  12, (unique:  12), root: 9759499, level:   1, parent:   0 } 

 component  91 : { size:   3, (unique:   3), root: 9759819, level:   1, parent:   0 } 

 component  92 : { size:   1, (unique:   1), root: 9760597, level:   1, parent:   0 } 

 component  93 : { size:   1, (unique:   1), root: 9762717, level:   1, parent:   0 } 

 component  94 : { size:   1, (unique:   1), root: 9805150, level:   1, parent:   0 } 

 component  95 : { size:   9, (unique:   9), root: 9805331, level:   1, parent:   0 } 

 component  96 : { size:   1, (unique:   1), root: 9805333, level:   1, parent:   0 } 

 component  97 : { size:   2, (unique:   2), root: 9805538, level:   1, parent:   0 } 

 component  98 : { size:  15, (unique:  15), root: 9805903, level:   1, parent:   0 } 

 component  99 : { size:   1, (unique:   1), root: 9806052, level:   1, parent:   0 } 

 component 100 : { size:   3, (unique:   3), root: 9806235, level:   1, parent:   0 } 

 component 101 : { size:   1, (unique:   1), root: 9807002, level:   1, parent:   0 } 

 component 102 : { size:   1, (unique:   1), root: 9813675, level:   1, parent:   0 } 

 component 103 : { size:   1, (unique:   1), root: 9814588, level:   1, parent:   0 } 

 component 104 : { size:  61, (unique:  61), root: 9851934, level:   1, parent:   0 } 

 component 105 : { size:   1, (unique:   1), root: 9852121, level:   1, parent:   0 } 

 component 106 : { size:   1, (unique:   1), root: 9852291, level:   1, parent:   0 } 

 component 107 : { size:   2, (unique:   2), root: 9852470, level:   1, parent:   0 } 

 component 108 : { size:   1, (unique:   1), root: 9852491, level:   1, parent:   0 } 

 component 109 : { size:  18, (unique:  18), root: 9852672, level:   1, parent:   0 } 

 component 110 : { size:   1, (unique:   1), root: 9852830, level:   1, parent:   0 } 

 component 111 : { size:   2, (unique:   2), root: 9852832, level:   1, parent:   0 } 

 component 112 : { size:   4, (unique:   4), root: 9853011, level:   1, parent:   0 } 

 component 113 : { size:   1, (unique:   1), root: 9853406, level:   1, parent:   0 } 

 component 114 : { size:   1, (unique:   1), root: 9858889, level:   1, parent:   0 } 

 component 115 : { size:   1, (unique:   1), root: 9859359, level:   1, parent:   0 } 

 component 116 : { size:   4, (unique:   4), root: 9899992, level:   1, parent:   0 } 

 component 117 : { size:   1, (unique:   1), root: 9902499, level:   1, parent:   0 } 

 component 118 : { size:   1, (unique:   1), root: 9902501, level:   1, parent:   0 } 

 component 119 : { size:   1, (unique:   1), root: 9902682, level:   1, parent:   0 } 

 component 120 : { size:   1, (unique:   1), root: 9904384, level:   1, parent:   0 } 

 component 121 : { size:   4, (unique:   4), root: 9949276, level:   1, parent:   0 } 

 component 122 : { size:   1, (unique:   1), root: 9949695, level:   1, parent:   0 } 

 component 123 : { size:   4, (unique:   4), root: 9950975, level:   1, parent:   0 } 

 component 124 : { size:   4, (unique:   4), root: 9951818, level:   1, parent:   0 } 

 component 125 : { size:   2, (unique:   2), root: 9995921, level:   1, parent:   0 } 

 component 126 : { size:   3, (unique:   3), root: 9998959, level:   1, parent:   0 } 

 component 127 : { size:   1, (unique:   1), root: 9999506, level:   1, parent:   0 } 

 component 128 : { size:   1, (unique:   1), root: 10042323, level:   1, parent:   0 } 

 component 129 : { size:   1, (unique:   1), root: 10042471, level:   1, parent:   0 } 

 component 130 : { size:   2, (unique:   2), root: 10043374, level:   1, parent:   0 } 

 component 131 : { size:   1, (unique:   1), root: 10044516, level:   1, parent:   0 } 

 component 132 : { size:   1, (unique:   1), root: 10044697, level:   1, parent:   0 } 

 component 133 : { size:  15, (unique:  15), root: 10045735, level:   1, parent:   0 } 

 component 134 : { size:   1, (unique:   1), root: 10088907, level:   1, parent:   0 } 

 component 135 : { size:   1, (unique:   1), root: 10089248, level:   1, parent:   0 } 

 component 136 : { size:   1, (unique:   1), root: 10089431, level:   1, parent:   0 } 

 component 137 : { size:   1, (unique:   1), root: 10089640, level:   1, parent:   0 } 

 component 138 : { size:  37, (unique:  37), root: 10089643, level:   1, parent:   0 } 

 component 139 : { size:   1, (unique:   1), root: 10090191, level:   1, parent:   0 } 

 component 140 : { size:   8, (unique:   8), root: 10092014, level:   1, parent:   0 } 

 component 141 : { size:   6, (unique:   6), root: 10092331, level:   1, parent:   0 } 

 component 142 : { size:   3, (unique:   3), root: 10136573, level:   1, parent:   0 } 

 component 143 : { size:   1, (unique:   1), root: 10137686, level:   1, parent:   0 } 

 component 144 : { size:   3, (unique:   3), root: 10183530, level:   1, parent:   0 } 

 component 145 : { size:   1, (unique:   1), root: 10183533, level:   1, parent:   0 } 

 component 146 : { size:   5, (unique:   5), root: 10184093, level:   1, parent:   0 } 

 component 147 : { size:  28, (unique:  28), root: 10184255, level:   1, parent:   0 } 

 component 148 : { size:  69, (unique:  69), root: 10184449, level:   1, parent:   0 } 

 component 149 : { size:   3, (unique:   3), root: 11901233, level:   1, parent:   0 } 

 component 150 : { size:  52, (unique:  52), root: 11911473, level:   1, parent:   0 } 

 component 151 : { size:  60, (unique:  60), root: 11911598, level:   1, parent:   0 } 

 component 152 : { size:  10, (unique:  10), root: 11914340, level:   1, parent:   0 } 

 component 153 : { size:   8, (unique:   8), root: 11914555, level:   1, parent:   0 } 

 component 154 : { size:   2, (unique:   2), root: 11915853, level:   1, parent:   0 } 

 component 155 : { size:   1, (unique:   1), root: 11926264, level:   1, parent:   0 } 

 component 156 : { size: 3474415, (unique: 570487), root: 18877, level:   2, parent:   1 } 

 component 157 : { size:  20, (unique:  20), root: 71666, level:   2, parent:   1 } 

 component 158 : { size:   8, (unique:   8), root: 110738, level:   2, parent:   1 } 

 component 159 : { size:   1, (unique:   1), root: 157875, level:   2, parent:   1 } 

 component 160 : { size:   1, (unique:   1), root: 182934, level:   2, parent:   1 } 

 component 161 : { size:   1, (unique:   1), root: 250130, level:   2, parent:   1 } 

 component 162 : { size:   2, (unique:   2), root: 325199, level:   2, parent:   1 } 

 component 163 : { size:   1, (unique:   1), root: 342769, level:   2, parent:   1 } 

 component 164 : { size:  35, (unique:  35), root: 1973307, level:   2, parent:   1 } 

 component 165 : { size:  12, (unique:  12), root: 2827207, level:   2, parent:   1 } 

 component 166 : { size:   2, (unique:   2), root: 2931763, level:   2, parent:   1 } 

 component 167 : { size:   1, (unique:   1), root: 3012679, level:   2, parent:   1 } 

 component 168 : { size:   1, (unique:   1), root: 3537101, level:   2, parent:   1 } 

 component 169 : { size:   1, (unique:   1), root: 3881614, level:   2, parent:   1 } 

 component 170 : { size:  25, (unique:  25), root: 3946884, level:   2, parent:   1 } 

 component 171 : { size:   1, (unique:   1), root: 3996265, level:   2, parent:   1 } 

 component 172 : { size:   3, (unique:   3), root: 4081413, level:   2, parent:   1 } 

 component 173 : { size:   3, (unique:   3), root: 4127930, level:   2, parent:   1 } 

 component 174 : { size:   1, (unique:   1), root: 4278898, level:   2, parent:   1 } 

 component 175 : { size:   4, (unique:   4), root: 4349849, level:   2, parent:   1 } 

 component 176 : { size:   1, (unique:   1), root: 4530580, level:   2, parent:   1 } 

 component 177 : { size:   1, (unique:   1), root: 4733574, level:   2, parent:   1 } 

 component 178 : { size:   8, (unique:   8), root: 5273709, level:   2, parent:   1 } 

 component 179 : { size:   2, (unique:   2), root: 5398408, level:   2, parent:   1 } 

 component 180 : { size:   5, (unique:   5), root: 5786056, level:   2, parent:   1 } 

 component 181 : { size:   2, (unique:   2), root: 6216006, level:   2, parent:   1 } 

 component 182 : { size:   8, (unique:   8), root: 6487343, level:   2, parent:   1 } 

 component 183 : { size:   1, (unique:   1), root: 6533568, level:   2, parent:   1 } 

 component 184 : { size:   1, (unique:   1), root: 6580159, level:   2, parent:   1 } 

 component 185 : { size:   2, (unique:   2), root: 6580342, level:   2, parent:   1 } 

 component 186 : { size:   4, (unique:   4), root: 6583157, level:   2, parent:   1 } 

 component 187 : { size:   1, (unique:   1), root: 6626567, level:   2, parent:   1 } 

 component 188 : { size:   1, (unique:   1), root: 6627214, level:   2, parent:   1 } 

 component 189 : { size:   1, (unique:   1), root: 6673525, level:   2, parent:   1 } 

 component 190 : { size:   4, (unique:   4), root: 6719750, level:   2, parent:   1 } 

 component 191 : { size:   1, (unique:   1), root: 6720850, level:   2, parent:   1 } 

 component 192 : { size:  21, (unique:  21), root: 6766810, level:   2, parent:   1 } 

 component 193 : { size:   2, (unique:   2), root: 6767625, level:   2, parent:   1 } 

 component 194 : { size:   1, (unique:   1), root: 6769708, level:   2, parent:   1 } 

 component 195 : { size:   1, (unique:   1), root: 6906589, level:   2, parent:   1 } 

 component 196 : { size:   1, (unique:   1), root: 6911056, level:   2, parent:   1 } 

 component 197 : { size:   1, (unique:   1), root: 7050532, level:   2, parent:   1 } 

 component 198 : { size:  89, (unique:  89), root: 7237257, level:   2, parent:   1 } 

 component 199 : { size:   1, (unique:   1), root: 7278619, level:   2, parent:   1 } 

 component 200 : { size:   1, (unique:   1), root: 7332076, level:   2, parent:   1 } 

 component 201 : { size:   1, (unique:   1), root: 7512842, level:   2, parent:   1 } 

 component 202 : { size:   1, (unique:   1), root: 7609272, level:   2, parent:   1 } 

 component 203 : { size:   1, (unique:   1), root: 7653036, level:   2, parent:   1 } 

 component 204 : { size:   1, (unique:   1), root: 7659082, level:   2, parent:   1 } 

 component 205 : { size:   1, (unique:   1), root: 7706095, level:   2, parent:   1 } 

 component 206 : { size:   1, (unique:   1), root: 7753051, level:   2, parent:   1 } 

 component 207 : { size:   1, (unique:   1), root: 7793542, level:   2, parent:   1 } 

 component 208 : { size:   1, (unique:   1), root: 7794288, level:   2, parent:   1 } 

 component 209 : { size:   1, (unique:   1), root: 7799221, level:   2, parent:   1 } 

 component 210 : { size:   1, (unique:   1), root: 7799395, level:   2, parent:   1 } 

 component 211 : { size:   1, (unique:   1), root: 7839885, level:   2, parent:   1 } 

 component 212 : { size:   1, (unique:   1), root: 7839949, level:   2, parent:   1 } 

 component 213 : { size:   1, (unique:   1), root: 7840066, level:   2, parent:   1 } 

 component 214 : { size:   1, (unique:   1), root: 7845692, level:   2, parent:   1 } 

 component 215 : { size:   1, (unique:   1), root: 7932891, level:   2, parent:   1 } 

 component 216 : { size:   2, (unique:   2), root: 7979124, level:   2, parent:   1 } 

 component 217 : { size:   2, (unique:   2), root: 7979737, level:   2, parent:   1 } 

 component 218 : { size:   1, (unique:   1), root: 7980651, level:   2, parent:   1 } 

 component 219 : { size:   8, (unique:   8), root: 8026257, level:   2, parent:   1 } 

 component 220 : { size:   6, (unique:   6), root: 8026511, level:   2, parent:   1 } 

 component 221 : { size:   1, (unique:   1), root: 8026695, level:   2, parent:   1 } 

 component 222 : { size:   1, (unique:   1), root: 8027241, level:   2, parent:   1 } 

 component 223 : { size:   1, (unique:   1), root: 8027791, level:   2, parent:   1 } 

 component 224 : { size:   1, (unique:   1), root: 8029805, level:   2, parent:   1 } 

 component 225 : { size:   1, (unique:   1), root: 8030901, level:   2, parent:   1 } 

 component 226 : { size:   2, (unique:   2), root: 8032178, level:   2, parent:   1 } 

 component 227 : { size:   1, (unique:   1), root: 8042562, level:   2, parent:   1 } 

 component 228 : { size:   1, (unique:   1), root: 8073214, level:   2, parent:   1 } 

 component 229 : { size:   4, (unique:   4), root: 8073469, level:   2, parent:   1 } 

 component 230 : { size:   1, (unique:   1), root: 8077492, level:   2, parent:   1 } 

 component 231 : { size:   4, (unique:   4), root: 8077675, level:   2, parent:   1 } 

 component 232 : { size:   3, (unique:   3), root: 8078223, level:   2, parent:   1 } 

 component 233 : { size:   1, (unique:   1), root: 8089881, level:   2, parent:   1 } 

 component 234 : { size:   1, (unique:   1), root: 8119626, level:   2, parent:   1 } 

 component 235 : { size:   1, (unique:   1), root: 8124631, level:   2, parent:   1 } 

 component 236 : { size:   1, (unique:   1), root: 8124814, level:   2, parent:   1 } 

 component 237 : { size:   1, (unique:   1), root: 8127428, level:   2, parent:   1 } 

 component 238 : { size:   2, (unique:   2), root: 8166039, level:   2, parent:   1 } 

 component 239 : { size:   1, (unique:   1), root: 8166220, level:   2, parent:   1 } 

 component 240 : { size:   1, (unique:   1), root: 8166400, level:   2, parent:   1 } 

 component 241 : { size:   3, (unique:   3), root: 8167933, level:   2, parent:   1 } 

 component 242 : { size:   2, (unique:   2), root: 8176739, level:   2, parent:   1 } 

 component 243 : { size:   1, (unique:   1), root: 8213175, level:   2, parent:   1 } 

 component 244 : { size:   2, (unique:   2), root: 8214889, level:   2, parent:   1 } 

 component 245 : { size:   1, (unique:   1), root: 8221460, level:   2, parent:   1 } 

 component 246 : { size:   1, (unique:   1), root: 8259408, level:   2, parent:   1 } 

 component 247 : { size:   1, (unique:   1), root: 8260742, level:   2, parent:   1 } 

 component 248 : { size:  25, (unique:  25), root: 8267869, level:   2, parent:   1 } 

 component 249 : { size:   1, (unique:   1), root: 8306182, level:   2, parent:   1 } 

 component 250 : { size:   6, (unique:   6), root: 8323202, level:   2, parent:   1 } 

 component 251 : { size:   1, (unique:   1), root: 8352956, level:   2, parent:   1 } 

 component 252 : { size:   1, (unique:   1), root: 8353337, level:   2, parent:   1 } 

 component 253 : { size:   1, (unique:   1), root: 8353556, level:   2, parent:   1 } 

 component 254 : { size:   1, (unique:   1), root: 8353739, level:   2, parent:   1 } 

 component 255 : { size:   1, (unique:   1), root: 8361051, level:   2, parent:   1 } 

 component 256 : { size:   1, (unique:   1), root: 8373856, level:   2, parent:   1 } 

 component 257 : { size:   1, (unique:   1), root: 8378811, level:   2, parent:   1 } 

 component 258 : { size:   5, (unique:   5), root: 8399780, level:   2, parent:   1 } 

 component 259 : { size:   1, (unique:   1), root: 8420266, level:   2, parent:   1 } 

 component 260 : { size:   1, (unique:   1), root: 8421288, level:   2, parent:   1 } 

 component 261 : { size:   1, (unique:   1), root: 8456238, level:   2, parent:   1 } 

