 component   0 : { size: 11927552, (unique: 7947833), root:   0, level:   0, parent:   0 } 
 component  79 : { size:   1, (unique:   1), root: 1066838, level:   1, parent:   0 } 

 component  80 : { size:   4, (unique:   4), root: 1068939, level:   1, parent:   0 } 

 component  81 : { size:   3, (unique:   3), root: 1069123, level:   1, parent:   0 } 

 component  82 : { size:   1, (unique:   1), root: 1090234, level:   1, parent:   0 } 

 component  83 : { size:   1, (unique:   1), root: 1113970, level:   1, parent:   0 } 

 component  84 : { size:   1, (unique:   1), root: 1137008, level:   1, parent:   0 } 

 component  85 : { size:   1, (unique:   1), root: 1139405, level:   1, parent:   0 } 

 component  86 : { size:   2, (unique:   2), root: 1140846, level:   1, parent:   0 } 

 component  87 : { size:   1, (unique:   1), root: 1143124, level:   1, parent:   0 } 

 component  88 : { size:   2, (unique:   2), root: 1162698, level:   1, parent:   0 } 

 component  89 : { size:   1, (unique:   1), root: 1191532, level:   1, parent:   0 } 

 component  90 : { size:   5, (unique:   4), root: 1203611, level:   1, parent:   0 } 

 component  91 : { size:   1, (unique:   1), root: 1204158, level:   1, parent:   0 } 

 component  92 : { size:   1, (unique:   1), root: 1206429, level:   1, parent:   0 } 

 component  93 : { size:   1, (unique:   1), root: 1206612, level:   1, parent:   0 } 

 component  94 : { size:   1, (unique:   1), root: 1232809, level:   1, parent:   0 } 

 component  95 : { size:   1, (unique:   1), root: 1237038, level:   1, parent:   0 } 

 component  96 : { size:   3, (unique:   3), root: 1237941, level:   1, parent:   0 } 

 component  97 : { size:   1, (unique:   1), root: 1250299, level:   1, parent:   0 } 

 component  98 : { size:   1, (unique:   1), root: 1251204, level:   1, parent:   0 } 

 component  99 : { size:   1, (unique:   1), root: 1279583, level:   1, parent:   0 } 

 component 100 : { size:   1, (unique:   1), root: 1296711, level:   1, parent:   0 } 

 component 101 : { size:   1, (unique:   1), root: 1297343, level:   1, parent:   0 } 

 component 102 : { size:   1, (unique:   1), root: 1302283, level:   1, parent:   0 } 

 component 103 : { size:   3, (unique:   3), root: 1326355, level:   1, parent:   0 } 

 component 104 : { size:   6, (unique:   6), root: 1341126, level:   1, parent:   0 } 

 component 105 : { size:   1, (unique:   1), root: 1345840, level:   1, parent:   0 } 

 component 106 : { size:   1, (unique:   1), root: 1348689, level:   1, parent:   0 } 

 component 107 : { size:   1, (unique:   1), root: 1349057, level:   1, parent:   0 } 

 component 108 : { size:   1, (unique:   1), root: 1349085, level:   1, parent:   0 } 

