 component   0 : { size: 11927552, (unique: 8144647), root:   0, level:   0, parent:   0 } 

 component   1 : { size: 3779157, (unique: 727442), root: 13923, level:   1, parent:   0 } 

 component   2 : { size:   5, (unique:   5), root: 63435, level:   1, parent:   0 } 

 component   3 : { size:   1, (unique:   1), root: 64317, level:   1, parent:   0 } 

 component   4 : { size:   1, (unique:   1), root: 64498, level:   1, parent:   0 } 

 component   5 : { size:   1, (unique:   1), root: 64674, level:   1, parent:   0 } 

 component   6 : { size:   1, (unique:   1), root: 83571, level:   1, parent:   0 } 

 component   7 : { size:   5, (unique:   4), root: 85941, level:   1, parent:   0 } 

 component   8 : { size:   1, (unique:   1), root: 87395, level:   1, parent:   0 } 

 component   9 : { size:   5, (unique:   5), root: 90098, level:   1, parent:   0 } 

 component  10 : { size:  10, (unique:  10), root: 90639, level:   1, parent:   0 } 

 component  11 : { size:   2, (unique:   2), root: 111089, level:   1, parent:   0 } 

 component  12 : { size:   1, (unique:   1), root: 136695, level:   1, parent:   0 } 

 component  13 : { size:   1, (unique:   1), root: 137237, level:   1, parent:   0 } 

 component  14 : { size:   1, (unique:   1), root: 137417, level:   1, parent:   0 } 

 component  15 : { size:  60, (unique:  60), root: 137776, level:   1, parent:   0 } 

 component  16 : { size:   1, (unique:   1), root: 180402, level:   1, parent:   0 } 

 component  17 : { size:   2, (unique:   2), root: 223101, level:   1, parent:   0 } 

 component  18 : { size:   1, (unique:   1), root: 269392, level:   1, parent:   0 } 

 component  19 : { size:   1, (unique:   1), root: 273768, level:   1, parent:   0 } 

 component  20 : { size:   1, (unique:   1), root: 277926, level:   1, parent:   0 } 

 component  21 : { size:   3, (unique:   3), root: 278287, level:   1, parent:   0 } 

 component  22 : { size:   1, (unique:   1), root: 325064, level:   1, parent:   0 } 

 component  23 : { size:   1, (unique:   1), root: 325067, level:   1, parent:   0 } 

 component  24 : { size:   1, (unique:   1), root: 342775, level:   1, parent:   0 } 

 component  25 : { size:   1, (unique:   1), root: 371482, level:   1, parent:   0 } 

