 component   0 : { size: 11927552, (unique: 7696816), root:   0, level:   0, parent:   0 } 

 component   1 : { size: 4227244, (unique: 316950), root: 13016, level:   1, parent:   0 } 

 component   2 : { size:  43, (unique:  43), root: 88634, level:   1, parent:   0 } 

 component   3 : { size:   1, (unique:   1), root: 90280, level:   1, parent:   0 } 

 component   4 : { size:   6, (unique:   6), root: 185458, level:   1, parent:   0 } 

 component   5 : { size:  10, (unique:  10), root: 875751, level:   1, parent:   0 } 

 component   6 : { size:   2, (unique:   2), root: 1155667, level:   1, parent:   0 } 

 component   7 : { size:   7, (unique:   7), root: 2020863, level:   1, parent:   0 } 

 component   8 : { size:  45, (unique:  45), root: 2114778, level:   1, parent:   0 } 

 component   9 : { size:   1, (unique:   1), root: 2254196, level:   1, parent:   0 } 

 component  10 : { size:   1, (unique:   1), root: 2300607, level:   1, parent:   0 } 

 component  11 : { size:   2, (unique:   2), root: 3839747, level:   1, parent:   0 } 

 component  12 : { size:   1, (unique:   1), root: 3993051, level:   1, parent:   0 } 

 component  13 : { size:   1, (unique:   1), root: 4128992, level:   1, parent:   0 } 

 component  14 : { size:  30, (unique:  30), root: 4227167, level:   1, parent:   0 } 

 component  15 : { size:   2, (unique:   2), root: 4879755, level:   1, parent:   0 } 

 component  16 : { size:   1, (unique:   1), root: 5118502, level:   1, parent:   0 } 

 component  17 : { size:  18, (unique:  18), root: 5251822, level:   1, parent:   0 } 

 component  18 : { size:   3, (unique:   3), root: 5437459, level:   1, parent:   0 } 

 component  19 : { size:   2, (unique:   2), root: 5485513, level:   1, parent:   0 } 

 component  20 : { size:   3, (unique:   3), root: 5485696, level:   1, parent:   0 } 

 component  21 : { size:   2, (unique:   2), root: 11895065, level:   1, parent:   0 } 

 component  22 : { size: 106, (unique: 106), root: 11899837, level:   1, parent:   0 } 

 component  23 : { size:  29, (unique:  29), root: 11900326, level:   1, parent:   0 } 

 component  24 : { size: 100, (unique: 100), root: 11900490, level:   1, parent:   0 } 

 component  25 : { size:  14, (unique:  14), root: 11900918, level:   1, parent:   0 } 

 component  26 : { size:  44, (unique:  44), root: 11902147, level:   1, parent:   0 } 

 component  27 : { size:   9, (unique:   9), root: 11902746, level:   1, parent:   0 } 

 component  28 : { size:   6, (unique:   6), root: 11902863, level:   1, parent:   0 } 

 component  29 : { size:   1, (unique:   1), root: 11904923, level:   1, parent:   0 } 

 component  30 : { size:   7, (unique:   7), root: 11905468, level:   1, parent:   0 } 

 component  31 : { size:  12, (unique:  12), root: 11907281, level:   1, parent:   0 } 

 component  32 : { size:   4, (unique:   4), root: 11907423, level:   1, parent:   0 } 

 component  33 : { size:   3, (unique:   3), root: 11907952, level:   1, parent:   0 } 

 component  34 : { size:  25, (unique:  25), root: 11908855, level:   1, parent:   0 } 

 component  35 : { size: 105, (unique: 105), root: 11908942, level:   1, parent:   0 } 

 component  36 : { size: 199, (unique: 169), root: 11910381, level:   1, parent:   0 } 

 component  37 : { size:   2, (unique:   2), root: 11910394, level:   1, parent:   0 } 

 component  38 : { size: 130, (unique:  95), root: 11910694, level:   1, parent:   0 } 

 component  39 : { size:   2, (unique:   2), root: 11911307, level:   1, parent:   0 } 

 component  40 : { size: 1120, (unique: 1120), root: 11911665, level:   1, parent:   0 } 

 component  41 : { size:   5, (unique:   5), root: 11911760, level:   1, parent:   0 } 

 component  42 : { size:  19, (unique:  19), root: 11912373, level:   1, parent:   0 } 

 component  43 : { size:   1, (unique:   1), root: 11913939, level:   1, parent:   0 } 

 component  44 : { size:  30, (unique:  26), root: 11914157, level:   1, parent:   0 } 

 component  45 : { size:  28, (unique:  24), root: 11914373, level:   1, parent:   0 } 

 component  46 : { size:   6, (unique:   6), root: 11915109, level:   1, parent:   0 } 

 component  47 : { size:  15, (unique:  15), root: 11915592, level:   1, parent:   0 } 

 component  48 : { size:   1, (unique:   1), root: 11915645, level:   1, parent:   0 } 

 component  49 : { size: 100, (unique: 100), root: 11916546, level:   1, parent:   0 } 

 component  50 : { size:   2, (unique:   2), root: 11917228, level:   1, parent:   0 } 

 component  51 : { size:   3, (unique:   3), root: 11918139, level:   1, parent:   0 } 

 component  52 : { size:  16, (unique:  16), root: 11918503, level:   1, parent:   0 } 

 component  53 : { size:  37, (unique:  37), root: 11918559, level:   1, parent:   0 } 

 component  54 : { size:   4, (unique:   4), root: 11918710, level:   1, parent:   0 } 

 component  55 : { size:  14, (unique:  14), root: 11918722, level:   1, parent:   0 } 

 component  56 : { size:  57, (unique:  57), root: 11918911, level:   1, parent:   0 } 

 component  57 : { size:   5, (unique:   5), root: 11919259, level:   1, parent:   0 } 

 component  58 : { size:   4, (unique:   4), root: 11919982, level:   1, parent:   0 } 

 component  59 : { size:  15, (unique:  15), root: 11919991, level:   1, parent:   0 } 

 component  60 : { size:   1, (unique:   1), root: 11920171, level:   1, parent:   0 } 

 component  61 : { size:   5, (unique:   5), root: 11920504, level:   1, parent:   0 } 

 component  62 : { size:  26, (unique:  26), root: 11920891, level:   1, parent:   0 } 

